,City,Cloudiness,Country,Date,Humidity,Temp,Lat,Lng,Wind Speed
388,belle fourche,1,US,1555766440,43,60.01,44.67,-103.85,3.36
389,bombay,75,US,1555766604,93,43.0,44.94,-74.57,8.05
390,qaqortoq,75,GL,1555764600,51,35.6,60.72,-46.03,2.24
391,daru,100,SL,1555766343,59,87.9,7.99,-10.85,3.44
392,maua,77,KE,1555766338,66,61.98,0.23,37.94,3.98
393,erzin,75,TR,1555766420,67,61.0,36.95,36.2,11.41
394,diego de almagro,0,CL,1555766661,81,56.94,-26.39,-70.05,1.61
395,alekseyevsk,100,RU,1555766661,81,25.26,57.84,108.35,6.15
396,jiexiu,100,CN,1555766661,73,54.06,37.02,111.92,7.78
397,moranbah,24,AU,1555766338,81,70.98,-22.0,148.04,11.74
398,ocampo,34,PH,1555766661,71,83.22,13.56,123.37,3.0
399,neiafu,40,TO,1555765200,74,78.8,-18.65,-173.98,13.87
400,dehloran,0,IR,1555766661,21,63.78,32.69,47.27,13.69
401,ponta delgada,75,PT,1555763400,68,66.2,37.73,-25.67,12.75
402,luderitz,0,NA,1555761600,60,71.6,-26.65,15.16,26.4
403,nalut,0,LY,1555766662,8,93.66,31.86,10.98,30.65
404,ballina,75,IE,1555766524,93,60.01,54.11,-9.15,4.7
405,arman,96,RU,1555766333,98,24.9,59.7,150.17,2.48
406,edd,27,ER,1555766662,48,92.76,13.93,41.69,16.49
407,dhidhdhoo,100,MV,1555766662,73,85.38,6.88,73.1,14.52
408,wenatchee,90,US,1555766233,53,51.8,47.42,-120.31,9.17
409,ruteng,53,ID,1555766662,84,76.38,-8.61,120.46,1.45
410,ilhabela,0,BR,1555766463,61,77.82,-23.78,-45.36,6.38
411,waingapu,29,ID,1555766663,88,76.2,-9.65,120.26,7.99
412,moussoro,13,TD,1555766663,9,106.8,13.64,16.49,6.42
413,yerofey pavlovich,100,RU,1555766663,72,26.16,53.97,121.97,7.09
414,cockburn town,2,TC,1555766195,76,78.9,21.46,-71.14,21.0
415,ajdabiya,0,LY,1555766663,67,66.48,30.75,20.22,1.12
416,kibondo,54,TZ,1555766663,53,81.6,-3.59,30.72,5.66
417,kassala,13,SD,1555766663,13,101.76,15.45,36.38,12.73
418,vaitape,34,PF,1555766663,74,83.58,-16.52,-151.75,3.24
419,yazman,65,SY,1555766664,44,60.36,36.74,38.46,14.65
420,cayenne,20,GF,1555763400,66,86.0,4.94,-52.33,16.11
421,otradnoye,0,RU,1555766602,42,51.01,59.77,30.8,6.71
422,bintulu,75,MY,1555761600,94,80.6,3.17,113.03,3.36
423,botwood,75,CA,1555766563,86,43.0,49.14,-55.34,6.93
424,de haan,0,BE,1555766651,48,80.01,51.28,3.03,12.75
425,la reforma,40,GT,1555766231,69,77.0,14.8,-91.82,4.7
426,aasiaat,97,GL,1555766368,63,16.08,68.71,-52.87,10.18
427,inhambane,20,MZ,1555761600,51,84.2,-23.87,35.38,9.17
428,buraydah,40,SA,1555761600,25,84.2,26.33,43.97,11.41
429,xuddur,68,SO,1555766665,38,94.56,4.12,43.89,6.93
430,baillif,40,GP,1555763400,58,82.4,16.02,-61.75,16.11
431,krasnogorskiy,100,RU,1555766665,39,42.54,55.39,83.61,6.38
432,namatanai,100,PG,1555766391,85,77.64,-3.66,152.44,1.92
433,genhe,69,CN,1555766665,35,26.34,50.78,121.52,6.31
434,ohara,67,JP,1555765896,35,63.0,35.12,135.83,1.01
435,grindavik,75,IS,1555765200,70,44.6,63.84,-22.43,25.28
436,altay,92,CN,1555766666,62,43.98,47.83,88.13,1.74
437,galle,1,US,1555766650,81,57.0,29.74,-97.91,4.14
438,gisborne,0,NZ,1555766406,99,50.0,-38.66,178.02,3.0
439,chimore,92,BO,1555766389,73,76.56,-16.98,-65.13,1.12
440,gorontalo,93,ID,1555766542,89,77.46,0.54,123.06,2.53
441,ayorou,1,NE,1555766666,4,107.16,14.73,0.92,15.26
442,saskatoon,20,CA,1555766230,69,44.01,52.13,-106.66,11.41
443,sendhwa,0,IN,1555766667,9,101.76,21.69,75.09,8.05
444,steinbach,75,CA,1555766430,75,48.99,49.53,-96.69,3.36
445,ust-tsilma,96,RU,1555766668,97,36.96,65.44,52.15,5.32
446,maceio,75,BR,1555765200,62,87.8,-9.67,-35.74,8.05
447,yenagoa,100,NG,1555766668,71,86.46,4.92,6.26,5.19
448,mabaruma,71,GY,1555766669,78,79.44,8.2,-59.78,4.21
449,shimanovsk,55,RU,1555766669,47,34.8,52.0,127.67,9.86
450,smithers,1,CA,1555765200,86,26.6,54.78,-127.17,2.17
451,bose,20,IT,1555766644,28,75.0,45.46,8.01,6.93
452,kondinskoye,68,RU,1555766669,86,34.98,59.65,67.41,7.4
453,atasu,99,KZ,1555766669,77,34.08,48.68,71.64,12.5
454,batagay-alyta,100,RU,1555766371,99,7.44,67.8,130.41,2.24
455,plainview,1,US,1555766277,70,57.0,34.18,-101.71,6.93
456,pak phanang,20,TH,1555761600,78,82.4,8.35,100.2,6.46
457,olavarria,0,AR,1555766670,74,54.96,-36.89,-60.32,10.47
458,sidi ali,27,DZ,1555766670,69,61.8,36.1,0.42,7.61
459,puerto del rosario,40,ES,1555765200,49,71.6,28.5,-13.86,17.22
460,marica,20,BR,1555766384,83,82.4,-22.92,-42.82,8.05
461,champerico,40,MX,1555764180,68,64.4,16.38,-93.6,2.24
462,vardo,90,US,1555766139,93,68.0,39.62,-77.74,9.17
463,mollendo,99,PE,1555766312,83,69.0,-17.03,-72.02,10.6
464,gat,0,SN,1555765200,40,86.0,14.69,-16.54,10.29
465,oxbow,90,CA,1555766137,81,48.2,49.23,-102.17,9.17
466,shihezi,99,CN,1555766671,25,72.06,44.3,86.03,8.25
467,atkarsk,30,RU,1555766671,26,52.26,51.88,45.01,4.7
468,meulaboh,100,ID,1555766619,75,85.92,4.14,96.13,12.75
469,korhogo,39,CI,1555766671,36,96.72,9.46,-5.63,7.54
470,martinsville,40,US,1555766666,62,57.0,36.69,-79.87,9.28
471,ayr,0,GB,1555766205,59,68.0,55.46,-4.63,4.7
472,mvuma,0,ZW,1555766672,31,78.36,-19.28,30.53,7.99
473,berlevag,99,NO,1555766323,89,42.54,70.86,29.09,26.57
474,naryan-mar,91,RU,1555766357,89,33.36,67.67,53.09,14.76
475,shafter,75,US,1555766427,62,64.0,35.5,-119.27,4.7
476,havelock,75,US,1555766488,77,64.99,34.88,-76.9,9.17
477,vanderhoof,0,CA,1555766672,80,26.88,54.02,-124.02,3.98
478,saint-francois,6,FR,1555766126,40,75.0,46.42,3.91,2.24
479,half moon bay,90,US,1555766228,93,55.99,37.46,-122.43,11.41
480,awbari,0,LY,1555766672,8,90.96,26.59,12.77,19.33
481,skelleftea,33,SE,1555764600,31,64.4,64.75,20.95,4.7
482,ust-ilimsk,97,RU,1555766672,80,29.04,57.96,102.73,5.66
483,ambon,0,FR,1555766597,43,75.99,47.55,-2.56,16.11
484,olkhovatka,71,UA,1555766673,32,53.16,48.24,38.4,10.2
485,petropavlovsk-kamchatskiy,38,RU,1555761600,86,28.4,53.05,158.65,4.47
486,beyneu,56,KZ,1555766331,27,54.42,45.32,55.19,12.17
487,ajaccio,0,FR,1555765200,43,75.2,41.93,8.74,5.82
488,thinadhoo,100,MV,1555766374,71,86.46,0.53,72.93,18.59
489,poum,20,MK,1555763400,44,59.0,41.28,20.71,9.17
490,quarai,95,BR,1555766673,88,71.52,-30.39,-56.45,2.17
491,kamaishi,100,JP,1555766673,86,34.08,39.28,141.86,3.38
492,fort frances,90,CA,1555766204,61,51.01,48.61,-93.4,9.17
493,sao borja,100,BR,1555766673,92,71.7,-28.66,-56.0,7.54
494,defiance,90,US,1555766483,93,41.0,41.28,-84.36,12.75
495,san jose de guanipa,63,VE,1555766674,69,78.18,8.89,-64.17,13.73
496,palafrugell,0,ES,1555766537,51,66.0,41.92,3.16,14.99
497,tuxpan,5,MX,1555764360,60,69.8,19.56,-103.38,3.44
498,conceicao do araguaia,100,BR,1555766674,87,79.8,-8.26,-49.26,2.28
499,tateyama,0,JP,1555765897,76,50.0,36.66,137.31,3.36
500,chumikan,100,RU,1555766384,98,24.36,54.72,135.31,3.62
501,vanimo,77,PG,1555766324,74,83.4,-2.67,141.3,6.98
502,bin qirdan,36,TN,1555766675,10,95.64,33.14,11.22,17.69
503,tual,47,ID,1555766338,71,86.1,-5.67,132.75,10.58
504,kirakira,100,SB,1555766384,81,80.16,-10.46,161.92,3.0
505,eidsvag,0,NO,1555762800,25,64.4,62.78,8.07,18.34
506,teguldet,95,RU,1555766675,73,36.24,57.31,88.17,4.92
507,rong kwang,0,TH,1555766675,21,94.92,18.34,100.32,3.15
508,willow grove,90,US,1555766673,88,66.99,40.14,-75.12,11.41
509,river falls,1,US,1555766585,61,53.01,44.86,-92.63,9.17
510,cabildo,90,CL,1555761600,87,57.2,-32.43,-71.07,5.88
511,svetlogorsk,31,RU,1555763400,18,50.0,53.14,59.15,8.95
512,sungairaya,97,ID,1555766675,74,84.3,0.7,108.9,4.38
513,pandan,28,PH,1555766676,69,83.4,11.72,122.09,8.61
514,talaya,0,RU,1555763400,41,39.2,55.79,84.89,4.47
515,gazanjyk,85,TM,1555766676,64,51.54,39.24,55.52,20.62
516,pareora,56,NZ,1555766085,97,52.0,-44.49,171.21,4.99
517,udachnyy,90,RU,1555761600,92,19.4,66.42,112.4,4.47
518,sabang,32,PH,1555766332,79,83.4,13.72,123.58,11.48
519,iroquois falls,5,CA,1555765200,59,37.4,48.76,-80.69,2.24
520,yongan,100,CN,1555766676,35,60.36,39.7,113.69,3.0
521,rincon,20,US,1555766599,66,61.0,32.3,-81.24,11.41
522,sovetskaya gavan,1,RU,1555766677,80,29.76,48.97,140.29,3.31
523,maraa,99,BR,1555766677,94,77.46,-1.83,-65.37,0.63
524,uvinza,66,TZ,1555766677,48,88.26,-5.1,30.39,2.08
525,flin flon,5,CA,1555765200,88,37.4,54.77,-101.88,8.05
526,torrington,1,US,1555766356,86,55.99,42.06,-104.18,11.14
527,zarechnyy,95,RU,1555766677,86,43.8,60.99,40.4,3.94
528,strezhevoy,75,RU,1555763400,54,30.2,60.73,77.6,11.18
529,chimbarongo,90,CL,1555761600,82,57.2,-34.71,-71.04,2.24
530,abu kamal,0,SY,1555766677,28,68.28,34.45,40.92,8.93
531,aginskoye,0,RU,1555766271,82,32.0,51.11,114.54,3.0
532,tynda,100,RU,1555766678,87,23.28,55.15,124.74,7.54
533,marawi,29,PH,1555766198,75,81.0,8.0,124.29,5.01
